   81    0.21275E+04    0.45131E+00    0.15450E-02   -0.11172E+02
   82    0.21546E+04    0.46541E+00    0.15836E-02   -0.11722E+02
   83    0.21818E+04    0.47958E+00    0.16226E-02   -0.12280E+02
   84    0.22093E+04    0.49381E+00    0.16621E-02   -0.12846E+02
   85    0.22370E+04    0.50810E+00    0.17021E-02   -0.13419E+02
   86    0.22650E+04    0.52242E+00    0.17426E-02   -0.13999E+02
   87    0.22932E+04    0.53675E+00    0.17836E-02   -0.14586E+02
   88    0.23216E+04    0.55110E+00    0.18251E-02   -0.15178E+02
   89    0.23502E+04    0.56544E+00    0.18671E-02   -0.15776E+02
   90    0.23791E+04    0.57976E+00    0.19096E-02   -0.16378E+02
   91    0.24082E+04    0.59404E+00    0.19525E-02   -0.16985E+02
   92    0.24375E+04    0.60828E+00    0.19960E-02   -0.17595E+02
   93    0.24671E+04    0.62246E+00    0.20400E-02   -0.18209E+02
   94    0.24969E+04    0.63657E+00    0.20845E-02   -0.18826E+02
   95    0.25269E+04    0.65060E+00    0.21295E-02   -0.19445E+02
   96    0.25571E+04    0.66455E+00    0.21751E-02   -0.20066E+02
   97    0.25875E+04    0.67839E+00    0.22211E-02   -0.20689E+02
   98    0.26182E+04    0.69212E+00    0.22677E-02   -0.21314E+02
   99    0.26490E+04    0.70572E+00    0.23148E-02   -0.21939E+02
  100    0.26800E+04    0.71919E+00    0.23624E-02   -0.22564E+02
  101    0.27113E+04    0.73252E+00    0.24105E-02   -0.23189E+02
  102    0.27427E+04    0.74569E+00    0.24592E-02   -0.23814E+02
  103    0.27743E+04    0.75869E+00    0.25085E-02   -0.24438E+02
  104    0.28060E+04    0.77151E+00    0.25583E-02   -0.25061E+02
  105    0.28380E+04    0.78414E+00    0.26086E-02   -0.25682E+02
  106    0.28701E+04    0.79658E+00    0.26595E-02   -0.26301E+02
  107    0.29023E+04    0.80880E+00    0.27109E-02   -0.26917E+02
  108    0.29348E+04    0.82079E+00    0.27629E-02   -0.27531E+02
  109    0.29674E+04    0.83255E+00    0.28154E-02   -0.28140E+02
  110    0.30001E+04    0.84407E+00    0.28686E-02   -0.28746E+02
  111    0.30330E+04    0.85533E+00    0.29223E-02   -0.29348E+02
  112    0.30660E+04    0.86633E+00    0.29766E-02   -0.29945E+02
  113    0.30991E+04    0.87704E+00    0.30314E-02   -0.30537E+02
  114    0.31324E+04    0.88747E+00    0.30869E-02   -0.31122E+02
  115    0.31658E+04    0.89761E+00    0.31429E-02   -0.31701E+02
  116    0.31993E+04    0.90743E+00    0.31996E-02   -0.32273E+02
  117    0.32329E+04    0.91694E+00    0.32568E-02   -0.32837E+02
  118    0.32666E+04    0.92612E+00    0.33147E-02   -0.33393E+02
  119    0.33003E+04    0.93495E+00    0.33732E-02   -0.33941E+02
  120    0.33342E+04    0.94344E+00    0.34323E-02   -0.34479E+02
  121    0.33681E+04    0.95158E+00    0.34920E-02   -0.35007E+02
  122    0.34021E+04    0.95934E+00    0.35523E-02   -0.35525E+02
  123    0.34361E+04    0.96672E+00    0.36133E-02   -0.36031E+02
  124    0.34702E+04    0.97371E+00    0.36750E-02   -0.36526E+02
  125    0.35043E+04    0.98030E+00    0.37372E-02   -0.37009E+02
  126    0.35385E+04    0.98647E+00    0.38001E-02   -0.37480E+02
  127    0.35727E+04    0.99223E+00    0.38637E-02   -0.37937E+02
  128    0.36069E+04    0.99756E+00    0.39280E-02   -0.38380E+02
  129    0.36411E+04    0.10024E+01    0.39929E-02   -0.38809E+02
  130    0.36753E+04    0.10069E+01    0.40585E-02   -0.39223E+02
  131    0.37095E+04    0.10108E+01    0.41247E-02   -0.39621E+02
  132    0.37437E+04    0.10144E+01    0.41917E-02   -0.40004E+02
  133    0.37779E+04    0.10174E+01    0.42593E-02   -0.40370E+02
  134    0.38120E+04    0.10200E+01    0.43276E-02   -0.40720E+02
  135    0.38461E+04    0.10221E+01    0.43966E-02   -0.41052E+02
  136    0.38801E+04    0.10238E+01    0.44664E-02   -0.41367E+02
  137    0.39140E+04    0.10251E+01    0.45368E-02   -0.41663E+02
  138    0.39479E+04    0.10259E+01    0.46079E-02   -0.41941E+02
  139    0.39817E+04    0.10262E+01    0.46798E-02   -0.42201E+02
  140    0.40153E+04    0.10261E+01    0.47524E-02   -0.42440E+02
  141    0.40489E+04    0.10256E+01    0.48257E-02   -0.42661E+02
  142    0.40823E+04    0.10246E+01    0.48997E-02   -0.42861E+02
  143    0.41156E+04    0.10232E+01    0.49745E-02   -0.43040E+02
  144    0.41488E+04    0.10213E+01    0.50501E-02   -0.43199E+02
  145    0.41818E+04    0.10190E+01    0.51263E-02   -0.43336E+02
  146    0.42146E+04    0.10163E+01    0.52033E-02   -0.43451E+02
  147    0.42473E+04    0.10131E+01    0.52811E-02   -0.43543E+02
  148    0.42797E+04    0.10095E+01    0.53596E-02   -0.43614E+02
  149    0.43120E+04    0.10055E+01    0.54389E-02   -0.43661E+02
  150    0.43440E+04    0.10011E+01    0.55190E-02   -0.43684E+02
  151    0.43759E+04    0.99625E+00    0.55998E-02   -0.43683E+02
  152    0.44075E+04    0.99100E+00    0.56814E-02   -0.43659E+02
  153    0.44388E+04    0.98535E+00    0.57638E-02   -0.43610E+02
  154    0.44700E+04    0.97934E+00    0.58469E-02   -0.43537E+02
  155    0.45008E+04    0.97297E+00    0.59308E-02   -0.43439E+02
  156    0.45315E+04    0.96627E+00    0.60155E-02   -0.43317E+02
  157    0.45618E+04    0.95925E+00    0.61010E-02   -0.43170E+02
  158    0.45919E+04    0.95192E+00    0.61873E-02   -0.42999E+02
  159    0.46217E+04    0.94432E+00    0.62744E-02   -0.42802E+02
  160    0.46512E+04    0.93644E+00    0.63622E-02   -0.42581E+02
  161    0.46804E+04    0.92831E+00    0.64508E-02   -0.42335E+02
  162    0.47094E+04    0.91996E+00    0.65403E-02   -0.42063E+02
  163    0.47380E+04    0.91138E+00    0.66305E-02   -0.41766E+02
  164    0.47663E+04    0.90261E+00    0.67215E-02   -0.41444E+02
  165    0.47943E+04    0.89365E+00    0.68133E-02   -0.41096E+02
  166    0.48219E+04    0.88453E+00    0.69059E-02   -0.40723E+02
  167    0.48492E+04    0.87527E+00    0.69993E-02   -0.40324E+02
  168    0.48762E+04    0.86587E+00    0.70935E-02   -0.39899E+02
  169    0.49028E+04    0.85636E+00    0.71885E-02   -0.39448E+02
  170    0.49291E+04    0.84675E+00    0.72843E-02   -0.38971E+02
  171    0.49550E+04    0.83707E+00    0.73809E-02   -0.38468E+02
  172    0.49805E+04    0.82732E+00    0.74783E-02   -0.37938E+02
  173    0.50056E+04    0.81753E+00    0.75764E-02   -0.37382E+02
  174    0.50304E+04    0.80772E+00    0.76754E-02   -0.36800E+02
  175    0.50548E+04    0.79789E+00    0.77751E-02   -0.36191E+02
  176    0.50787E+04    0.78807E+00    0.78756E-02   -0.35556E+02
  177    0.51023E+04    0.77830E+00    0.79769E-02   -0.34894E+02
  178    0.51254E+04    0.76859E+00    0.80790E-02   -0.34205E+02
  179    0.51481E+04    0.75900E+00    0.81818E-02   -0.33491E+02
  180    0.51704E+04    0.74955E+00    0.82854E-02   -0.32750E+02
  181    0.51923E+04    0.74028E+00    0.83898E-02   -0.31984E+02
  182    0.52137E+04    0.73121E+00    0.84950E-02   -0.31191E+02
  183    0.52346E+04    0.72239E+00    0.86009E-02   -0.30373E+02
  184    0.52551E+04    0.71385E+00    0.87075E-02   -0.29530E+02
  185    0.52751E+04    0.70562E+00    0.88150E-02   -0.28662E+02
  186    0.52946E+04    0.69773E+00    0.89231E-02   -0.27768E+02
  187    0.53137E+04    0.69022E+00    0.90320E-02   -0.26850E+02
  188    0.53322E+04    0.68312E+00    0.91416E-02   -0.25906E+02
  189    0.53503E+04    0.67647E+00    0.92520E-02   -0.24938E+02
  190    0.53678E+04    0.67030E+00    0.93631E-02   -0.23946E+02
  191    0.53849E+04    0.66464E+00    0.94748E-02   -0.22930E+02
  192    0.54014E+04    0.65953E+00    0.95873E-02   -0.21889E+02
  193    0.54173E+04    0.65500E+00    0.97005E-02   -0.20824E+02
  194    0.54328E+04    0.65108E+00    0.98144E-02   -0.19736E+02
  195    0.54477E+04    0.64781E+00    0.99290E-02   -0.18624E+02
  196    0.54620E+04    0.64523E+00    0.10044E-01   -0.17488E+02
  197    0.54758E+04    0.64336E+00    0.10160E-01   -0.16330E+02
  198    0.54890E+04    0.64224E+00    0.10277E-01   -0.15148E+02
  199    0.55016E+04    0.64190E+00    0.10394E-01   -0.13943E+02
  200    0.55136E+04    0.64238E+00    0.10512E-01   -0.12715E+02
  201    0.55251E+04    0.64370E+00    0.10630E-01   -0.11465E+02
  202    0.55359E+04    0.64591E+00    0.10749E-01   -0.10193E+02
  203    0.55462E+04    0.64903E+00    0.10869E-01   -0.88992E+01
  204    0.55558E+04    0.65310E+00    0.10989E-01   -0.75849E+01
  205    0.55649E+04    0.65813E+00    0.11110E-01   -0.62507E+01
  206    0.55734E+04    0.66417E+00    0.11232E-01   -0.48970E+01
  207    0.55813E+04    0.67125E+00    0.11354E-01   -0.35246E+01
  208    0.55886E+04    0.67939E+00    0.11477E-01   -0.21342E+01
  209    0.55953E+04    0.68863E+00    0.11600E-01   -0.72632E+00
  210    0.56015E+04    0.69900E+00    0.11723E-01    0.69831E+00
  211    0.56070E+04    0.71052E+00    0.11848E-01    0.21390E+01
  212    0.56120E+04    0.72323E+00    0.11972E-01    0.35952E+01
  213    0.56164E+04    0.73717E+00    0.12098E-01    0.50662E+01
  214    0.56201E+04    0.75235E+00    0.12223E-01    0.65514E+01
  215    0.56233E+04    0.76881E+00    0.12350E-01    0.80500E+01
  216    0.56260E+04    0.78659E+00    0.12476E-01    0.95615E+01
  217    0.56280E+04    0.80571E+00    0.12603E-01    0.11085E+02
  218    0.56294E+04    0.82620E+00    0.12731E-01    0.12620E+02
  219    0.56303E+04    0.84810E+00    0.12859E-01    0.14167E+02
  220    0.56306E+04    0.87143E+00    0.12987E-01    0.15723E+02
  221    0.56303E+04    0.89623E+00    0.13116E-01    0.17289E+02
  222    0.56294E+04    0.92252E+00    0.13245E-01    0.18864E+02
  223    0.56280E+04    0.95035E+00    0.13374E-01    0.20447E+02
  224    0.56259E+04    0.97972E+00    0.13504E-01    0.22038E+02
  225    0.56233E+04    0.10107E+01    0.13634E-01    0.23635E+02
  226    0.56201E+04    0.10433E+01    0.13765E-01    0.25239E+02
  227    0.56163E+04    0.10775E+01    0.13896E-01    0.26849E+02
  228    0.56120E+04    0.11134E+01    0.14027E-01    0.28464E+02
  229    0.56070E+04    0.11510E+01    0.14158E-01    0.30083E+02
  230    0.56015E+04    0.11904E+01    0.14290E-01    0.31706E+02
  231    0.55954E+04    0.12316E+01    0.14421E-01    0.33332E+02
  232    0.55888E+04    0.12745E+01    0.14553E-01    0.34960E+02
  233    0.55815E+04    0.13193E+01    0.14686E-01    0.36590E+02
